Training iter #50:   Batch Loss = 0.760868, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7439220547676086, Accuracy = 0.510869562625885
Training iter #1600:   Batch Loss = 0.724577, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7451602220535278, Accuracy = 0.52173912525177
Training iter #1700:   Batch Loss = 0.740164, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7453786134719849, Accuracy = 0.510869562625885
Training iter #1800:   Batch Loss = 0.751841, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.732489824295044, Accuracy = 0.5869565010070801
Training iter #1900:   Batch Loss = 0.735010, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7349709272384644, Accuracy = 0.5760869383811951
Training iter #2000:   Batch Loss = 0.713558, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.732551634311676, Accuracy = 0.5869565010070801
Training iter #2100:   Batch Loss = 0.732491, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7363885045051575, Accuracy = 0.5652173757553101
Training iter #2200:   Batch Loss = 0.743029, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7424691915512085, Accuracy = 0.532608687877655
Training iter #2300:   Batch Loss = 0.741754, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7389085292816162, Accuracy = 0.5
Training iter #2400:   Batch Loss = 0.727060, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7397322058677673, Accuracy = 0.489130437374115
Training iter #2500:   Batch Loss = 0.731978, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7441961765289307, Accuracy = 0.532608687877655
Training iter #2600:   Batch Loss = 0.749237, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7359120845794678, Accuracy = 0.5652173757553101
Training iter #2700:   Batch Loss = 0.730159, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7375407814979553, Accuracy = 0.532608687877655
Training iter #2800:   Batch Loss = 0.708291, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7335214614868164, Accuracy = 0.5869565010070801
Training iter #2900:   Batch Loss = 0.721503, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7359734773635864, Accuracy = 0.54347825050354
Training iter #3000:   Batch Loss = 0.736537, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7405959963798523, Accuracy = 0.510869562625885
Training iter #3100:   Batch Loss = 0.736637, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7365529537200928, Accuracy = 0.532608687877655
Training iter #3200:   Batch Loss = 0.722230, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7365949749946594, Accuracy = 0.532608687877655
Training iter #3300:   Batch Loss = 0.727043, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7410148978233337, Accuracy = 0.510869562625885
Training iter #3400:   Batch Loss = 0.767005, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7117680311203003, Accuracy = 0.554347813129425
Training iter #3500:   Batch Loss = 0.806088, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7132786512374878, Accuracy = 0.6304348111152649
Training iter #3600:   Batch Loss = 0.722228, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.6993647217750549, Accuracy = 0.6195651888847351
Training iter #3700:   Batch Loss = 0.771917, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7368695139884949, Accuracy = 0.54347825050354
Training iter #3800:   Batch Loss = 0.745754, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7652897834777832, Accuracy = 0.45652174949645996
Training iter #3900:   Batch Loss = 0.759474, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7799208164215088, Accuracy = 0.46739131212234497
Training iter #4000:   Batch Loss = 0.780932, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7868098020553589, Accuracy = 0.44565218687057495
Training iter #4100:   Batch Loss = 0.730135, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7856884002685547, Accuracy = 0.41304346919059753
Training iter #4200:   Batch Loss = 0.750752, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7760359048843384, Accuracy = 0.44565218687057495
Training iter #4300:   Batch Loss = 0.769427, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7683364152908325, Accuracy = 0.46739131212234497
Training iter #4400:   Batch Loss = 0.774478, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7499721050262451, Accuracy = 0.489130437374115
Training iter #4500:   Batch Loss = 0.757553, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7337188124656677, Accuracy = 0.5978260636329651
Training iter #4600:   Batch Loss = 0.733542, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.720686674118042, Accuracy = 0.6086956262588501
Training iter #4700:   Batch Loss = 0.745591, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.712794840335846, Accuracy = 0.6304348111152649
Training iter #4800:   Batch Loss = 0.737549, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7114656567573547, Accuracy = 0.6304348111152649
Training iter #4900:   Batch Loss = 0.747128, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.711485743522644, Accuracy = 0.6304348111152649
Training iter #5000:   Batch Loss = 0.751844, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.712001383304596, Accuracy = 0.6304348111152649
Training iter #5100:   Batch Loss = 0.736929, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7132230401039124, Accuracy = 0.6304348111152649
Training iter #5200:   Batch Loss = 0.723545, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.715080976486206, Accuracy = 0.6304348111152649
Training iter #5300:   Batch Loss = 0.763952, Accuracy = 0.36000001430511475
PERFORMANCE ON TEST SET: Batch Loss = 0.7190217971801758, Accuracy = 0.6086956262588501
Training iter #5400:   Batch Loss = 0.724483, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7249715924263, Accuracy = 0.5978260636329651
Training iter #5500:   Batch Loss = 0.745577, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7253578901290894, Accuracy = 0.5978260636329651
Training iter #5600:   Batch Loss = 0.739965, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7271023392677307, Accuracy = 0.6195651888847351
Training iter #5700:   Batch Loss = 0.731176, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7294368147850037, Accuracy = 0.5760869383811951
Training iter #5800:   Batch Loss = 0.742528, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7267242074012756, Accuracy = 0.5869565010070801
Training iter #5900:   Batch Loss = 0.729248, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.726652979850769, Accuracy = 0.6086956262588501
Training iter #6000:   Batch Loss = 0.729922, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.728801965713501, Accuracy = 0.5978260636329651
Training iter #6100:   Batch Loss = 0.752492, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7308357357978821, Accuracy = 0.5652173757553101
Training iter #6200:   Batch Loss = 0.713946, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7487407922744751, Accuracy = 0.5
Training iter #6300:   Batch Loss = 0.743936, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7142041325569153, Accuracy = 0.6304348111152649
Training iter #6400:   Batch Loss = 0.722852, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7162708044052124, Accuracy = 0.6521739363670349
Training iter #6500:   Batch Loss = 0.726650, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7242943644523621, Accuracy = 0.6086956262588501
Training iter #6600:   Batch Loss = 0.739733, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7286670804023743, Accuracy = 0.5869565010070801
Training iter #6700:   Batch Loss = 0.714233, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7458347082138062, Accuracy = 0.5
Training iter #6800:   Batch Loss = 0.743121, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7409901022911072, Accuracy = 0.54347825050354
Training iter #6900:   Batch Loss = 0.742828, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7241482138633728, Accuracy = 0.5760869383811951
Training iter #7000:   Batch Loss = 0.717936, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7161197662353516, Accuracy = 0.6521739363670349
Training iter #7100:   Batch Loss = 0.743513, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7115436792373657, Accuracy = 0.6413043737411499
Training iter #7200:   Batch Loss = 0.722593, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7223764061927795, Accuracy = 0.5978260636329651
Training iter #7300:   Batch Loss = 0.720171, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7364643812179565, Accuracy = 0.554347813129425
Training iter #7400:   Batch Loss = 0.746011, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7381822466850281, Accuracy = 0.5652173757553101
Training iter #7500:   Batch Loss = 0.704362, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7543083429336548, Accuracy = 0.3804347813129425
Training iter #7600:   Batch Loss = 0.754511, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7381514310836792, Accuracy = 0.54347825050354
Training iter #7700:   Batch Loss = 0.747000, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7204365730285645, Accuracy = 0.6195651888847351
Training iter #7800:   Batch Loss = 0.721531, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7169815897941589, Accuracy = 0.6413043737411499
Training iter #7900:   Batch Loss = 0.739461, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7137637734413147, Accuracy = 0.6521739363670349
Training iter #8000:   Batch Loss = 0.724317, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7136456370353699, Accuracy = 0.6521739363670349
Training iter #8100:   Batch Loss = 0.723940, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7150672078132629, Accuracy = 0.6521739363670349
Training iter #8200:   Batch Loss = 0.742491, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7153933644294739, Accuracy = 0.6739130616188049
Training iter #8300:   Batch Loss = 0.728317, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7198136448860168, Accuracy = 0.5978260636329651
Training iter #8400:   Batch Loss = 0.726680, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.723880410194397, Accuracy = 0.5760869383811951
Training iter #8500:   Batch Loss = 0.727051, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7295160293579102, Accuracy = 0.54347825050354
Training iter #8600:   Batch Loss = 0.719017, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7340871095657349, Accuracy = 0.46739131212234497
Training iter #8700:   Batch Loss = 0.735501, Accuracy = 0.36000001430511475
PERFORMANCE ON TEST SET: Batch Loss = 0.7113556265830994, Accuracy = 0.6195651888847351
Training iter #8800:   Batch Loss = 0.710873, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7302118539810181, Accuracy = 0.45652174949645996
Training iter #8900:   Batch Loss = 0.715160, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7428919076919556, Accuracy = 0.41304346919059753
Training iter #9000:   Batch Loss = 0.744072, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7128833532333374, Accuracy = 0.6413043737411499
Training iter #9100:   Batch Loss = 0.721752, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7113752365112305, Accuracy = 0.6413043737411499
Training iter #9200:   Batch Loss = 0.711224, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7147781252861023, Accuracy = 0.6086956262588501
Training iter #9300:   Batch Loss = 0.735420, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7264916896820068, Accuracy = 0.5652173757553101
Training iter #9400:   Batch Loss = 0.713902, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7415623068809509, Accuracy = 0.3695652186870575
Training iter #9500:   Batch Loss = 0.759488, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7145230174064636, Accuracy = 0.6195651888847351
Training iter #9600:   Batch Loss = 0.720218, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7163625359535217, Accuracy = 0.6304348111152649
Training iter #9700:   Batch Loss = 0.714626, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7346131801605225, Accuracy = 0.45652174949645996
Training iter #9800:   Batch Loss = 0.739033, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7341383695602417, Accuracy = 0.46739131212234497
Training iter #9900:   Batch Loss = 0.701162, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7437445521354675, Accuracy = 0.41304346919059753
Training iter #10000:   Batch Loss = 0.724736, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.73041832447052, Accuracy = 0.43478259444236755
Training iter #10100:   Batch Loss = 0.744108, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7177897691726685, Accuracy = 0.6413043737411499
Training iter #10200:   Batch Loss = 0.716300, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7169589400291443, Accuracy = 0.6413043737411499
Training iter #10300:   Batch Loss = 0.840584, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.9549348950386047, Accuracy = 0.4021739065647125
Training iter #10400:   Batch Loss = 0.814609, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7618626356124878, Accuracy = 0.510869562625885
Training iter #10500:   Batch Loss = 1.440833, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7878257036209106, Accuracy = 0.6304348111152649
Training iter #10600:   Batch Loss = 0.751159, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.8261526226997375, Accuracy = 0.42391303181648254
Training iter #10700:   Batch Loss = 0.731483, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7855213284492493, Accuracy = 0.43478259444236755
Training iter #10800:   Batch Loss = 0.684899, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 0.7572025060653687, Accuracy = 0.6304348111152649
Training iter #10900:   Batch Loss = 0.847019, Accuracy = 0.3799999952316284
PERFORMANCE ON TEST SET: Batch Loss = 0.8134836554527283, Accuracy = 0.3913043439388275
Training iter #11000:   Batch Loss = 0.731122, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7706279158592224, Accuracy = 0.3804347813129425
Training iter #11100:   Batch Loss = 0.737514, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.751639723777771, Accuracy = 0.46739131212234497
Training iter #11200:   Batch Loss = 0.742131, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.75132155418396, Accuracy = 0.489130437374115
Training iter #11300:   Batch Loss = 0.718086, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7432661652565002, Accuracy = 0.47826087474823
Training iter #11400:   Batch Loss = 0.760224, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7359437942504883, Accuracy = 0.532608687877655
Training iter #11500:   Batch Loss = 0.748039, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7318753004074097, Accuracy = 0.52173912525177
Training iter #11600:   Batch Loss = 0.692541, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7274308204650879, Accuracy = 0.5
Training iter #11700:   Batch Loss = 0.754777, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7276330590248108, Accuracy = 0.510869562625885
Training iter #11800:   Batch Loss = 0.734656, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7291026711463928, Accuracy = 0.52173912525177
Training iter #11900:   Batch Loss = 0.752500, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.725170373916626, Accuracy = 0.510869562625885
Training iter #12000:   Batch Loss = 0.726073, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7343470454216003, Accuracy = 0.489130437374115
Training iter #12100:   Batch Loss = 0.711375, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7343122959136963, Accuracy = 0.489130437374115
Training iter #12200:   Batch Loss = 0.737534, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7348501682281494, Accuracy = 0.489130437374115
Training iter #12300:   Batch Loss = 0.738925, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7360424995422363, Accuracy = 0.489130437374115
Training iter #12400:   Batch Loss = 0.683665, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7377784848213196, Accuracy = 0.46739131212234497
Training iter #12500:   Batch Loss = 0.744019, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7521288394927979, Accuracy = 0.46739131212234497
Training iter #12600:   Batch Loss = 0.760775, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7467999458312988, Accuracy = 0.489130437374115
Training iter #12700:   Batch Loss = 0.765147, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.717469334602356, Accuracy = 0.5869565010070801
Training iter #12800:   Batch Loss = 0.709858, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7220075726509094, Accuracy = 0.532608687877655
Training iter #12900:   Batch Loss = 0.694661, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.727160632610321, Accuracy = 0.510869562625885
Training iter #13000:   Batch Loss = 0.732807, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7357353568077087, Accuracy = 0.47826087474823
Training iter #13100:   Batch Loss = 0.954542, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 1.0223768949508667, Accuracy = 0.3695652186870575
Training iter #13200:   Batch Loss = 0.850285, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.887904703617096, Accuracy = 0.3804347813129425
Training iter #13300:   Batch Loss = 0.732303, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7476564049720764, Accuracy = 0.5
Training iter #13400:   Batch Loss = 0.759801, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7292464375495911, Accuracy = 0.5978260636329651
Training iter #13500:   Batch Loss = 0.799716, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7233282923698425, Accuracy = 0.6304348111152649
Training iter #13600:   Batch Loss = 0.737723, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.72533118724823, Accuracy = 0.6304348111152649
Training iter #13700:   Batch Loss = 0.695225, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7267311215400696, Accuracy = 0.6304348111152649
Training iter #13800:   Batch Loss = 0.835081, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7290725708007812, Accuracy = 0.6304348111152649
Training iter #13900:   Batch Loss = 0.719845, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7322001457214355, Accuracy = 0.6304348111152649
Training iter #14000:   Batch Loss = 0.688994, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7340219616889954, Accuracy = 0.6086956262588501
Training iter #14100:   Batch Loss = 0.754623, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7336028814315796, Accuracy = 0.5978260636329651
Training iter #14200:   Batch Loss = 0.767398, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7331458330154419, Accuracy = 0.5869565010070801
Training iter #14300:   Batch Loss = 0.742648, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7356377840042114, Accuracy = 0.6304348111152649
Training iter #14400:   Batch Loss = 0.706916, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7429692149162292, Accuracy = 0.47826087474823
Training iter #14500:   Batch Loss = 0.724062, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7506560683250427, Accuracy = 0.4021739065647125
Training iter #14600:   Batch Loss = 0.711208, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7596868872642517, Accuracy = 0.3913043439388275
Training iter #14700:   Batch Loss = 0.712247, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7675410509109497, Accuracy = 0.41304346919059753
Training iter #14800:   Batch Loss = 0.716903, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7626826167106628, Accuracy = 0.42391303181648254
Training iter #14900:   Batch Loss = 0.728671, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.75636225938797, Accuracy = 0.4021739065647125
Training iter #15000:   Batch Loss = 0.758599, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7546862363815308, Accuracy = 0.4021739065647125
Training iter #15100:   Batch Loss = 0.717848, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7497000098228455, Accuracy = 0.3804347813129425
Training iter #15200:   Batch Loss = 0.704687, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7484211921691895, Accuracy = 0.3913043439388275
Training iter #15300:   Batch Loss = 0.727889, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.745613694190979, Accuracy = 0.4021739065647125
Training iter #15400:   Batch Loss = 0.705365, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7440845370292664, Accuracy = 0.4021739065647125
Training iter #15500:   Batch Loss = 0.707786, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7441447973251343, Accuracy = 0.4021739065647125
Training iter #15600:   Batch Loss = 0.693162, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7420512437820435, Accuracy = 0.42391303181648254
Training iter #15700:   Batch Loss = 0.726244, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7411198616027832, Accuracy = 0.42391303181648254
Training iter #15800:   Batch Loss = 0.753392, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7436385154724121, Accuracy = 0.4021739065647125
Training iter #15900:   Batch Loss = 0.716965, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7403653860092163, Accuracy = 0.43478259444236755
Training iter #16000:   Batch Loss = 0.698432, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7501370310783386, Accuracy = 0.4021739065647125
Training iter #16100:   Batch Loss = 0.713781, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7496091723442078, Accuracy = 0.3913043439388275
Training iter #16200:   Batch Loss = 0.692572, Accuracy = 0.6200000047683716
