Training iter #50:   Batch Loss = 0.876467, Accuracy = 0.5
Training iter #1800:   Batch Loss = 0.756135, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7590461373329163, Accuracy = 0.3695652186870575
Training iter #1900:   Batch Loss = 0.748300, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7568590641021729, Accuracy = 0.3695652186870575
Training iter #2000:   Batch Loss = 0.738764, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7555025815963745, Accuracy = 0.3695652186870575
Training iter #2100:   Batch Loss = 0.743404, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7536240816116333, Accuracy = 0.3695652186870575
Training iter #2200:   Batch Loss = 0.741781, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7519551515579224, Accuracy = 0.3695652186870575
Training iter #2300:   Batch Loss = 0.746620, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7507147192955017, Accuracy = 0.3695652186870575
Training iter #2400:   Batch Loss = 0.738690, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7491663694381714, Accuracy = 0.3695652186870575
Training iter #2500:   Batch Loss = 0.740455, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7481937408447266, Accuracy = 0.3695652186870575
Training iter #2600:   Batch Loss = 0.745547, Accuracy = 0.3799999952316284
PERFORMANCE ON TEST SET: Batch Loss = 0.7469066977500916, Accuracy = 0.3695652186870575
Training iter #2700:   Batch Loss = 0.740224, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7456678152084351, Accuracy = 0.3913043439388275
Training iter #2800:   Batch Loss = 0.738754, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7451726794242859, Accuracy = 0.43478259444236755
Training iter #2900:   Batch Loss = 0.740052, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7440440058708191, Accuracy = 0.43478259444236755
Training iter #3000:   Batch Loss = 0.738381, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7432527542114258, Accuracy = 0.43478259444236755
Training iter #3100:   Batch Loss = 0.740403, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7429090738296509, Accuracy = 0.44565218687057495
Training iter #3200:   Batch Loss = 0.736104, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7421484589576721, Accuracy = 0.44565218687057495
Training iter #3300:   Batch Loss = 0.738859, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7420566082000732, Accuracy = 0.45652174949645996
Training iter #3400:   Batch Loss = 0.739857, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7413505911827087, Accuracy = 0.45652174949645996
Training iter #3500:   Batch Loss = 0.737312, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7406542897224426, Accuracy = 0.47826087474823
Training iter #3600:   Batch Loss = 0.737239, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7408713102340698, Accuracy = 0.45652174949645996
Training iter #3700:   Batch Loss = 0.735492, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7402804493904114, Accuracy = 0.46739131212234497
Training iter #3800:   Batch Loss = 0.735422, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7399420738220215, Accuracy = 0.46739131212234497
Training iter #3900:   Batch Loss = 0.737961, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7401757836341858, Accuracy = 0.44565218687057495
Training iter #4000:   Batch Loss = 0.733338, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7395825386047363, Accuracy = 0.46739131212234497
Training iter #4100:   Batch Loss = 0.735049, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7397693395614624, Accuracy = 0.44565218687057495
Training iter #4200:   Batch Loss = 0.738124, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7389593124389648, Accuracy = 0.45652174949645996
Training iter #4300:   Batch Loss = 0.734174, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7379679083824158, Accuracy = 0.46739131212234497
Training iter #4400:   Batch Loss = 0.730577, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7384049892425537, Accuracy = 0.46739131212234497
Training iter #4500:   Batch Loss = 0.730078, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7370948791503906, Accuracy = 0.489130437374115
Training iter #4600:   Batch Loss = 0.732307, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7362400889396667, Accuracy = 0.5
Training iter #4700:   Batch Loss = 0.733044, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.894950270652771, Accuracy = 0.42391303181648254
Training iter #4800:   Batch Loss = 0.727642, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7356926202774048, Accuracy = 0.510869562625885
Training iter #4900:   Batch Loss = 0.728809, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7374881505966187, Accuracy = 0.47826087474823
Training iter #5000:   Batch Loss = 0.739886, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7366156578063965, Accuracy = 0.47826087474823
Training iter #5100:   Batch Loss = 0.730550, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7358623743057251, Accuracy = 0.46739131212234497
Training iter #5200:   Batch Loss = 0.721516, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7380577325820923, Accuracy = 0.46739131212234497
Training iter #5300:   Batch Loss = 0.727770, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7362609505653381, Accuracy = 0.489130437374115
Training iter #5400:   Batch Loss = 0.727895, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7369441986083984, Accuracy = 0.489130437374115
Training iter #5500:   Batch Loss = 0.730622, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7383115887641907, Accuracy = 0.47826087474823
Training iter #5600:   Batch Loss = 0.722483, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7361594438552856, Accuracy = 0.46739131212234497
Training iter #5700:   Batch Loss = 0.718822, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7371392250061035, Accuracy = 0.45652174949645996
Training iter #5800:   Batch Loss = 0.740848, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7352098822593689, Accuracy = 0.43478259444236755
Training iter #5900:   Batch Loss = 0.734295, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.734679102897644, Accuracy = 0.43478259444236755
Training iter #6000:   Batch Loss = 0.714775, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7368208765983582, Accuracy = 0.43478259444236755
Training iter #6100:   Batch Loss = 0.725168, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.736152172088623, Accuracy = 0.42391303181648254
Training iter #6200:   Batch Loss = 0.730158, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7369602918624878, Accuracy = 0.42391303181648254
Training iter #6300:   Batch Loss = 0.719942, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7391310334205627, Accuracy = 0.42391303181648254
Training iter #6400:   Batch Loss = 0.719008, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7396816611289978, Accuracy = 0.42391303181648254
Training iter #6500:   Batch Loss = 0.707683, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7411845922470093, Accuracy = 0.42391303181648254
Training iter #6600:   Batch Loss = 0.741468, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7395617365837097, Accuracy = 0.42391303181648254
Training iter #6700:   Batch Loss = 0.732708, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7389928698539734, Accuracy = 0.42391303181648254
Training iter #6800:   Batch Loss = 0.704810, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7404135465621948, Accuracy = 0.43478259444236755
Training iter #6900:   Batch Loss = 0.719701, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7385773658752441, Accuracy = 0.41304346919059753
Training iter #7000:   Batch Loss = 0.728994, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7392549514770508, Accuracy = 0.43478259444236755
Training iter #7100:   Batch Loss = 0.715622, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7413488626480103, Accuracy = 0.44565218687057495
Training iter #7200:   Batch Loss = 0.718760, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.741859495639801, Accuracy = 0.43478259444236755
Training iter #7300:   Batch Loss = 0.700998, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7464693784713745, Accuracy = 0.42391303181648254
Training iter #7400:   Batch Loss = 0.732622, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7400478720664978, Accuracy = 0.43478259444236755
Training iter #7500:   Batch Loss = 0.726775, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7323248982429504, Accuracy = 0.489130437374115
Training iter #7600:   Batch Loss = 0.710189, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.737833559513092, Accuracy = 0.46739131212234497
Training iter #7700:   Batch Loss = 0.717973, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7375220060348511, Accuracy = 0.46739131212234497
Training iter #7800:   Batch Loss = 0.722487, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7385246157646179, Accuracy = 0.45652174949645996
Training iter #7900:   Batch Loss = 0.710526, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7433066964149475, Accuracy = 0.44565218687057495
Training iter #8000:   Batch Loss = 0.714848, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7441380023956299, Accuracy = 0.44565218687057495
Training iter #8100:   Batch Loss = 0.696774, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7456998229026794, Accuracy = 0.41304346919059753
Training iter #8200:   Batch Loss = 0.728557, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7408435344696045, Accuracy = 0.45652174949645996
Training iter #8300:   Batch Loss = 0.720676, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7404462099075317, Accuracy = 0.46739131212234497
Training iter #8400:   Batch Loss = 0.700321, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7453603148460388, Accuracy = 0.42391303181648254
Training iter #8500:   Batch Loss = 0.710978, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7379372715950012, Accuracy = 0.46739131212234497
Training iter #8600:   Batch Loss = 0.723410, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7362576723098755, Accuracy = 0.47826087474823
Training iter #8700:   Batch Loss = 0.704536, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7414393424987793, Accuracy = 0.43478259444236755
Training iter #8800:   Batch Loss = 0.711992, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7362203001976013, Accuracy = 0.47826087474823
Training iter #8900:   Batch Loss = 0.691225, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7349485754966736, Accuracy = 0.46739131212234497
Training iter #9000:   Batch Loss = 0.715570, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7321409583091736, Accuracy = 0.5
Training iter #9100:   Batch Loss = 0.716069, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7311028242111206, Accuracy = 0.489130437374115
Training iter #9200:   Batch Loss = 0.702236, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7461744546890259, Accuracy = 0.46739131212234497
Training iter #9300:   Batch Loss = 0.702118, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7151979804039001, Accuracy = 0.5652173757553101
Training iter #9400:   Batch Loss = 0.741703, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7182596921920776, Accuracy = 0.554347813129425
Training iter #9500:   Batch Loss = 0.703744, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7419330477714539, Accuracy = 0.43478259444236755
Training iter #9600:   Batch Loss = 0.707162, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7378814220428467, Accuracy = 0.46739131212234497
Training iter #9700:   Batch Loss = 0.672314, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.735481321811676, Accuracy = 0.46739131212234497
Training iter #9800:   Batch Loss = 0.712888, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7304560542106628, Accuracy = 0.510869562625885
Training iter #9900:   Batch Loss = 0.713742, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7296736240386963, Accuracy = 0.510869562625885
Training iter #10000:   Batch Loss = 0.693264, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7397701740264893, Accuracy = 0.44565218687057495
Training iter #10100:   Batch Loss = 0.693936, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7311839461326599, Accuracy = 0.510869562625885
Training iter #10200:   Batch Loss = 0.716541, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7340320944786072, Accuracy = 0.47826087474823
Training iter #10300:   Batch Loss = 0.701765, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.740606427192688, Accuracy = 0.44565218687057495
Training iter #10400:   Batch Loss = 0.697591, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7331191301345825, Accuracy = 0.47826087474823
Training iter #10500:   Batch Loss = 0.676997, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.736061155796051, Accuracy = 0.44565218687057495
Training iter #10600:   Batch Loss = 0.708941, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7330772876739502, Accuracy = 0.47826087474823
Training iter #10700:   Batch Loss = 0.709630, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.728856086730957, Accuracy = 0.532608687877655
Training iter #10800:   Batch Loss = 0.701883, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7354224324226379, Accuracy = 0.46739131212234497
Training iter #10900:   Batch Loss = 0.690559, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7283779382705688, Accuracy = 0.52173912525177
Training iter #11000:   Batch Loss = 0.712075, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7329962849617004, Accuracy = 0.46739131212234497
Training iter #11100:   Batch Loss = 0.710324, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7374178767204285, Accuracy = 0.44565218687057495
Training iter #11200:   Batch Loss = 0.691400, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7318222522735596, Accuracy = 0.489130437374115
Training iter #11300:   Batch Loss = 0.677327, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7367280721664429, Accuracy = 0.44565218687057495
Training iter #11400:   Batch Loss = 0.701565, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7325263023376465, Accuracy = 0.489130437374115
Training iter #11500:   Batch Loss = 0.709394, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7282156348228455, Accuracy = 0.532608687877655
Training iter #11600:   Batch Loss = 0.692861, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7334501147270203, Accuracy = 0.46739131212234497
Training iter #11700:   Batch Loss = 0.683590, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7259358167648315, Accuracy = 0.52173912525177
Training iter #11800:   Batch Loss = 0.698652, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7309575080871582, Accuracy = 0.5
Training iter #11900:   Batch Loss = 0.705835, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7364466786384583, Accuracy = 0.43478259444236755
Training iter #12000:   Batch Loss = 0.686947, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7298014760017395, Accuracy = 0.52173912525177
Training iter #12100:   Batch Loss = 0.679997, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7360243201255798, Accuracy = 0.44565218687057495
Training iter #12200:   Batch Loss = 0.709518, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7298961877822876, Accuracy = 0.489130437374115
Training iter #12300:   Batch Loss = 0.706783, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7269978523254395, Accuracy = 0.510869562625885
Training iter #12400:   Batch Loss = 0.702124, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7336857318878174, Accuracy = 0.46739131212234497
Training iter #12500:   Batch Loss = 0.676348, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.724716067314148, Accuracy = 0.532608687877655
Training iter #12600:   Batch Loss = 0.680035, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7367078065872192, Accuracy = 0.47826087474823
Training iter #12700:   Batch Loss = 0.687769, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7396913170814514, Accuracy = 0.45652174949645996
Training iter #12800:   Batch Loss = 0.684210, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7298879623413086, Accuracy = 0.489130437374115
Training iter #12900:   Batch Loss = 0.675808, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7353906631469727, Accuracy = 0.47826087474823
Training iter #13000:   Batch Loss = 0.711095, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7334299683570862, Accuracy = 0.47826087474823
Training iter #13100:   Batch Loss = 0.705168, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7306791543960571, Accuracy = 0.5
Training iter #13200:   Batch Loss = 0.698802, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7389786839485168, Accuracy = 0.47826087474823
Training iter #13300:   Batch Loss = 0.669664, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7291347980499268, Accuracy = 0.54347825050354
Training iter #13400:   Batch Loss = 0.668949, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.735693633556366, Accuracy = 0.47826087474823
Training iter #13500:   Batch Loss = 0.689165, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7331351637840271, Accuracy = 0.489130437374115
Training iter #13600:   Batch Loss = 0.671753, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7295280694961548, Accuracy = 0.510869562625885
Training iter #13700:   Batch Loss = 0.674877, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7393470406532288, Accuracy = 0.489130437374115
Training iter #13800:   Batch Loss = 0.704838, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7345296740531921, Accuracy = 0.47826087474823
Training iter #13900:   Batch Loss = 0.697603, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7275869846343994, Accuracy = 0.532608687877655
Training iter #14000:   Batch Loss = 0.699401, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7360367178916931, Accuracy = 0.47826087474823
Training iter #14100:   Batch Loss = 0.676306, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7278425693511963, Accuracy = 0.532608687877655
Training iter #14200:   Batch Loss = 0.664459, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7387171983718872, Accuracy = 0.489130437374115
Training iter #14300:   Batch Loss = 0.680946, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7330068349838257, Accuracy = 0.5
Training iter #14400:   Batch Loss = 0.674284, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7252424955368042, Accuracy = 0.5652173757553101
Training iter #14500:   Batch Loss = 0.674491, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7329543232917786, Accuracy = 0.5
Training iter #14600:   Batch Loss = 0.710518, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7331511378288269, Accuracy = 0.5
Training iter #14700:   Batch Loss = 0.694629, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7288446426391602, Accuracy = 0.532608687877655
Training iter #14800:   Batch Loss = 0.692106, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7355096340179443, Accuracy = 0.47826087474823
Training iter #14900:   Batch Loss = 0.680905, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7272640466690063, Accuracy = 0.532608687877655
Training iter #15000:   Batch Loss = 0.669024, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7341739535331726, Accuracy = 0.489130437374115
Training iter #15100:   Batch Loss = 0.706457, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7296580076217651, Accuracy = 0.532608687877655
Training iter #15200:   Batch Loss = 0.681088, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7247627377510071, Accuracy = 0.5652173757553101
Training iter #15300:   Batch Loss = 0.660139, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7348005771636963, Accuracy = 0.489130437374115
Training iter #15400:   Batch Loss = 0.704471, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7319602966308594, Accuracy = 0.52173912525177
Training iter #15500:   Batch Loss = 0.696499, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.72707599401474, Accuracy = 0.532608687877655
Training iter #15600:   Batch Loss = 0.700432, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7313977479934692, Accuracy = 0.532608687877655
Training iter #15700:   Batch Loss = 0.666364, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7256015539169312, Accuracy = 0.554347813129425
Training iter #15800:   Batch Loss = 0.675870, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7320183515548706, Accuracy = 0.5
Training iter #15900:   Batch Loss = 0.701897, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7289615273475647, Accuracy = 0.532608687877655
Training iter #16000:   Batch Loss = 0.676603, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7231246829032898, Accuracy = 0.5869565010070801
Training iter #16100:   Batch Loss = 0.657511, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7315108180046082, Accuracy = 0.5
Training iter #16200:   Batch Loss = 0.700445, Accuracy = 0.6399999856948853
