Training iter #50:   Batch Loss = 1.589014, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.8782492876052856, Accuracy = 0.3804347813129425
Training iter #1900:   Batch Loss = 0.719964, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.8175902366638184, Accuracy = 0.3695652186870575
Training iter #2000:   Batch Loss = 0.750394, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7945627570152283, Accuracy = 0.3913043439388275
Training iter #2100:   Batch Loss = 0.835321, Accuracy = 0.3400000035762787
PERFORMANCE ON TEST SET: Batch Loss = 0.7841802835464478, Accuracy = 0.3804347813129425
Training iter #2200:   Batch Loss = 0.738215, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7792777419090271, Accuracy = 0.41304346919059753
Training iter #2300:   Batch Loss = 0.742974, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7762569189071655, Accuracy = 0.41304346919059753
Training iter #2400:   Batch Loss = 0.742672, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7733729481697083, Accuracy = 0.41304346919059753
Training iter #2500:   Batch Loss = 0.713308, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7711881995201111, Accuracy = 0.41304346919059753
Training iter #2600:   Batch Loss = 0.730961, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7691131830215454, Accuracy = 0.4021739065647125
Training iter #2700:   Batch Loss = 0.721417, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7667951583862305, Accuracy = 0.42391303181648254
Training iter #2800:   Batch Loss = 0.732889, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7652918100357056, Accuracy = 0.42391303181648254
Training iter #2900:   Batch Loss = 0.794930, Accuracy = 0.30000001192092896
PERFORMANCE ON TEST SET: Batch Loss = 0.763155460357666, Accuracy = 0.42391303181648254
Training iter #3000:   Batch Loss = 0.738424, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7615708708763123, Accuracy = 0.42391303181648254
Training iter #3100:   Batch Loss = 0.733945, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7603265643119812, Accuracy = 0.42391303181648254
Training iter #3200:   Batch Loss = 0.747491, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7584028244018555, Accuracy = 0.43478259444236755
Training iter #3300:   Batch Loss = 0.721470, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7573654055595398, Accuracy = 0.43478259444236755
Training iter #3400:   Batch Loss = 0.729927, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7561258673667908, Accuracy = 0.43478259444236755
Training iter #3500:   Batch Loss = 0.727949, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.754647433757782, Accuracy = 0.44565218687057495
Training iter #3600:   Batch Loss = 0.734041, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7541484832763672, Accuracy = 0.44565218687057495
Training iter #3700:   Batch Loss = 0.780504, Accuracy = 0.3400000035762787
PERFORMANCE ON TEST SET: Batch Loss = 0.7527559995651245, Accuracy = 0.44565218687057495
Training iter #3800:   Batch Loss = 0.733667, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7520689964294434, Accuracy = 0.45652174949645996
Training iter #3900:   Batch Loss = 0.731406, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7518972158432007, Accuracy = 0.44565218687057495
Training iter #4000:   Batch Loss = 0.750002, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.75054532289505, Accuracy = 0.45652174949645996
Training iter #4100:   Batch Loss = 0.719392, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7506505846977234, Accuracy = 0.45652174949645996
Training iter #4200:   Batch Loss = 0.735713, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7501147389411926, Accuracy = 0.45652174949645996
Training iter #4300:   Batch Loss = 0.719272, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7494037747383118, Accuracy = 0.45652174949645996
Training iter #4400:   Batch Loss = 0.735110, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7502745985984802, Accuracy = 0.44565218687057495
Training iter #4500:   Batch Loss = 0.764335, Accuracy = 0.3799999952316284
PERFORMANCE ON TEST SET: Batch Loss = 0.7495473623275757, Accuracy = 0.45652174949645996
Training iter #4600:   Batch Loss = 0.720778, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7493096590042114, Accuracy = 0.45652174949645996
Training iter #4700:   Batch Loss = 0.732984, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7500592470169067, Accuracy = 0.43478259444236755
Training iter #4800:   Batch Loss = 0.731020, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7477768659591675, Accuracy = 0.45652174949645996
Training iter #4900:   Batch Loss = 0.713195, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7483364343643188, Accuracy = 0.45652174949645996
Training iter #5000:   Batch Loss = 0.745232, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7477399706840515, Accuracy = 0.45652174949645996
Training iter #5100:   Batch Loss = 0.715327, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7463914155960083, Accuracy = 0.45652174949645996
Training iter #5200:   Batch Loss = 0.738437, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7470300197601318, Accuracy = 0.45652174949645996
Training iter #5300:   Batch Loss = 0.764955, Accuracy = 0.36000001430511475
PERFORMANCE ON TEST SET: Batch Loss = 0.7454684972763062, Accuracy = 0.45652174949645996
Training iter #5400:   Batch Loss = 0.722526, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7444148659706116, Accuracy = 0.45652174949645996
Training iter #5500:   Batch Loss = 0.725006, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7446660399436951, Accuracy = 0.45652174949645996
Training iter #5600:   Batch Loss = 0.723486, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7420122027397156, Accuracy = 0.45652174949645996
Training iter #5700:   Batch Loss = 0.718333, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.742511510848999, Accuracy = 0.45652174949645996
Training iter #5800:   Batch Loss = 0.744503, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7416796088218689, Accuracy = 0.45652174949645996
Training iter #5900:   Batch Loss = 0.713835, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7406057119369507, Accuracy = 0.47826087474823
Training iter #6000:   Batch Loss = 0.739260, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7418949007987976, Accuracy = 0.45652174949645996
Training iter #6100:   Batch Loss = 0.755585, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.740279495716095, Accuracy = 0.47826087474823
Training iter #6200:   Batch Loss = 0.717680, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.739746630191803, Accuracy = 0.47826087474823
Training iter #6300:   Batch Loss = 0.716515, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7405195236206055, Accuracy = 0.46739131212234497
Training iter #6400:   Batch Loss = 0.722268, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7371876239776611, Accuracy = 0.489130437374115
Training iter #6500:   Batch Loss = 0.716838, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7383418679237366, Accuracy = 0.46739131212234497
Training iter #6600:   Batch Loss = 0.741912, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7373028993606567, Accuracy = 0.47826087474823
Training iter #6700:   Batch Loss = 0.715451, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.736143946647644, Accuracy = 0.47826087474823
Training iter #6800:   Batch Loss = 0.730402, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7380968332290649, Accuracy = 0.46739131212234497
Training iter #6900:   Batch Loss = 0.748504, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7360904216766357, Accuracy = 0.47826087474823
Training iter #7000:   Batch Loss = 0.719839, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7357350587844849, Accuracy = 0.47826087474823
Training iter #7100:   Batch Loss = 0.715379, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7376695871353149, Accuracy = 0.46739131212234497
Training iter #7200:   Batch Loss = 0.730241, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7336769700050354, Accuracy = 0.46739131212234497
Training iter #7300:   Batch Loss = 0.713124, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7346336841583252, Accuracy = 0.47826087474823
Training iter #7400:   Batch Loss = 0.742746, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7335218787193298, Accuracy = 0.46739131212234497
Training iter #7500:   Batch Loss = 0.707044, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7324385046958923, Accuracy = 0.46739131212234497
Training iter #7600:   Batch Loss = 0.723705, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7345144748687744, Accuracy = 0.47826087474823
Training iter #7700:   Batch Loss = 0.748121, Accuracy = 0.3799999952316284
PERFORMANCE ON TEST SET: Batch Loss = 0.7330936193466187, Accuracy = 0.46739131212234497
Training iter #7800:   Batch Loss = 0.715657, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7334039807319641, Accuracy = 0.47826087474823
Training iter #7900:   Batch Loss = 0.707569, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.736163854598999, Accuracy = 0.46739131212234497
Training iter #8000:   Batch Loss = 0.723872, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7318124175071716, Accuracy = 0.46739131212234497
Training iter #8100:   Batch Loss = 0.713726, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7329106330871582, Accuracy = 0.47826087474823
Training iter #8200:   Batch Loss = 0.736296, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.731547474861145, Accuracy = 0.46739131212234497
Training iter #8300:   Batch Loss = 0.708800, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7300061583518982, Accuracy = 0.46739131212234497
Training iter #8400:   Batch Loss = 0.721847, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7327514290809631, Accuracy = 0.47826087474823
Training iter #8500:   Batch Loss = 0.753000, Accuracy = 0.36000001430511475
PERFORMANCE ON TEST SET: Batch Loss = 0.731280505657196, Accuracy = 0.46739131212234497
Training iter #8600:   Batch Loss = 0.710753, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7320539951324463, Accuracy = 0.46739131212234497
Training iter #8700:   Batch Loss = 0.708154, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7348939180374146, Accuracy = 0.45652174949645996
Training iter #8800:   Batch Loss = 0.723307, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7302199006080627, Accuracy = 0.45652174949645996
Training iter #8900:   Batch Loss = 0.709454, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7315218448638916, Accuracy = 0.46739131212234497
Training iter #9000:   Batch Loss = 0.733128, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7296229004859924, Accuracy = 0.45652174949645996
Training iter #9100:   Batch Loss = 0.710272, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7283121347427368, Accuracy = 0.46739131212234497
Training iter #9200:   Batch Loss = 0.719666, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7312844395637512, Accuracy = 0.46739131212234497
Training iter #9300:   Batch Loss = 0.750873, Accuracy = 0.36000001430511475
PERFORMANCE ON TEST SET: Batch Loss = 0.7295420169830322, Accuracy = 0.45652174949645996
Training iter #9400:   Batch Loss = 0.704078, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.729938805103302, Accuracy = 0.45652174949645996
Training iter #9500:   Batch Loss = 0.705568, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7337033748626709, Accuracy = 0.45652174949645996
Training iter #9600:   Batch Loss = 0.716265, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7287433743476868, Accuracy = 0.45652174949645996
Training iter #9700:   Batch Loss = 0.710814, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7304162383079529, Accuracy = 0.45652174949645996
Training iter #9800:   Batch Loss = 0.734467, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7278940677642822, Accuracy = 0.45652174949645996
Training iter #9900:   Batch Loss = 0.705341, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.726352334022522, Accuracy = 0.47826087474823
Training iter #10000:   Batch Loss = 0.714618, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7291412353515625, Accuracy = 0.45652174949645996
Training iter #10100:   Batch Loss = 0.742407, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7273342609405518, Accuracy = 0.45652174949645996
Training iter #10200:   Batch Loss = 0.697414, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7280945181846619, Accuracy = 0.45652174949645996
Training iter #10300:   Batch Loss = 0.702854, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7315066456794739, Accuracy = 0.45652174949645996
Training iter #10400:   Batch Loss = 0.710668, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7261497378349304, Accuracy = 0.45652174949645996
Training iter #10500:   Batch Loss = 0.709773, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7280265688896179, Accuracy = 0.45652174949645996
Training iter #10600:   Batch Loss = 0.725693, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7250036597251892, Accuracy = 0.46739131212234497
Training iter #10700:   Batch Loss = 0.703658, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7229781746864319, Accuracy = 0.47826087474823
Training iter #10800:   Batch Loss = 0.708130, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7261963486671448, Accuracy = 0.45652174949645996
Training iter #10900:   Batch Loss = 0.734819, Accuracy = 0.4000000059604645
PERFORMANCE ON TEST SET: Batch Loss = 0.7232775092124939, Accuracy = 0.46739131212234497
Training iter #11000:   Batch Loss = 0.698972, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7239828705787659, Accuracy = 0.45652174949645996
Training iter #11100:   Batch Loss = 0.700743, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7267611622810364, Accuracy = 0.44565218687057495
Training iter #11200:   Batch Loss = 0.710407, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7220773696899414, Accuracy = 0.489130437374115
Training iter #11300:   Batch Loss = 0.714162, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7251584529876709, Accuracy = 0.45652174949645996
Training iter #11400:   Batch Loss = 0.709793, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.722733736038208, Accuracy = 0.489130437374115
Training iter #11500:   Batch Loss = 0.713261, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7218260765075684, Accuracy = 0.47826087474823
Training iter #11600:   Batch Loss = 0.700945, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7264114022254944, Accuracy = 0.47826087474823
Training iter #11700:   Batch Loss = 0.730780, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7246683835983276, Accuracy = 0.489130437374115
Training iter #11800:   Batch Loss = 0.686170, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7259168028831482, Accuracy = 0.47826087474823
Training iter #11900:   Batch Loss = 0.692586, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7294821739196777, Accuracy = 0.46739131212234497
Training iter #12000:   Batch Loss = 0.706519, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7243828177452087, Accuracy = 0.44565218687057495
Training iter #12100:   Batch Loss = 0.704700, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7269407510757446, Accuracy = 0.45652174949645996
Training iter #12200:   Batch Loss = 0.706596, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7243517637252808, Accuracy = 0.43478259444236755
Training iter #12300:   Batch Loss = 0.720295, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.724362313747406, Accuracy = 0.43478259444236755
Training iter #12400:   Batch Loss = 0.687377, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7299902439117432, Accuracy = 0.44565218687057495
Training iter #12500:   Batch Loss = 0.716932, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7279761433601379, Accuracy = 0.42391303181648254
Training iter #12600:   Batch Loss = 0.682073, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7305934429168701, Accuracy = 0.43478259444236755
Training iter #12700:   Batch Loss = 0.695055, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7331517934799194, Accuracy = 0.4021739065647125
Training iter #12800:   Batch Loss = 0.719191, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7236871719360352, Accuracy = 0.47826087474823
Training iter #12900:   Batch Loss = 0.694632, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7284837961196899, Accuracy = 0.44565218687057495
Training iter #13000:   Batch Loss = 0.711602, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7244121432304382, Accuracy = 0.46739131212234497
Training iter #13100:   Batch Loss = 0.712637, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7263267636299133, Accuracy = 0.47826087474823
Training iter #13200:   Batch Loss = 0.684104, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.73649001121521, Accuracy = 0.43478259444236755
Training iter #13300:   Batch Loss = 0.714915, Accuracy = 0.41999998688697815
PERFORMANCE ON TEST SET: Batch Loss = 0.7318406701087952, Accuracy = 0.41304346919059753
Training iter #13400:   Batch Loss = 0.679734, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7340876460075378, Accuracy = 0.42391303181648254
Training iter #13500:   Batch Loss = 0.694537, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7356443405151367, Accuracy = 0.41304346919059753
Training iter #13600:   Batch Loss = 0.717345, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7255950570106506, Accuracy = 0.45652174949645996
Training iter #13700:   Batch Loss = 0.690297, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7286407947540283, Accuracy = 0.44565218687057495
Training iter #13800:   Batch Loss = 0.696590, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.723563551902771, Accuracy = 0.489130437374115
Training iter #13900:   Batch Loss = 0.709895, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7236248850822449, Accuracy = 0.489130437374115
Training iter #14000:   Batch Loss = 0.684952, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7299346327781677, Accuracy = 0.43478259444236755
Training iter #14100:   Batch Loss = 0.712027, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7289441227912903, Accuracy = 0.45652174949645996
Training iter #14200:   Batch Loss = 0.687294, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7340862154960632, Accuracy = 0.41304346919059753
Training iter #14300:   Batch Loss = 0.701917, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.737842857837677, Accuracy = 0.42391303181648254
Training iter #14400:   Batch Loss = 0.710477, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7303056120872498, Accuracy = 0.43478259444236755
Training iter #14500:   Batch Loss = 0.692801, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7345761060714722, Accuracy = 0.42391303181648254
Training iter #14600:   Batch Loss = 0.712637, Accuracy = 0.46000000834465027
PERFORMANCE ON TEST SET: Batch Loss = 0.7265002727508545, Accuracy = 0.489130437374115
Training iter #14700:   Batch Loss = 0.704603, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7248707413673401, Accuracy = 0.5
Training iter #14800:   Batch Loss = 0.689773, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7284493446350098, Accuracy = 0.45652174949645996
Training iter #14900:   Batch Loss = 0.706547, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7267165184020996, Accuracy = 0.47826087474823
Training iter #15000:   Batch Loss = 0.691728, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7315472960472107, Accuracy = 0.42391303181648254
Training iter #15100:   Batch Loss = 0.693467, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7367473244667053, Accuracy = 0.42391303181648254
Training iter #15200:   Batch Loss = 0.708618, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7311770915985107, Accuracy = 0.44565218687057495
Training iter #15300:   Batch Loss = 0.692404, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7368205189704895, Accuracy = 0.43478259444236755
Training iter #15400:   Batch Loss = 0.711417, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7293229103088379, Accuracy = 0.45652174949645996
Training iter #15500:   Batch Loss = 0.703912, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7267740964889526, Accuracy = 0.489130437374115
Training iter #15600:   Batch Loss = 0.694580, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7296395897865295, Accuracy = 0.44565218687057495
Training iter #15700:   Batch Loss = 0.700787, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7267873287200928, Accuracy = 0.47826087474823
Training iter #15800:   Batch Loss = 0.692131, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7309136986732483, Accuracy = 0.44565218687057495
Training iter #15900:   Batch Loss = 0.691934, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7350971698760986, Accuracy = 0.42391303181648254
Training iter #16000:   Batch Loss = 0.713332, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7306211590766907, Accuracy = 0.44565218687057495
Training iter #16100:   Batch Loss = 0.695814, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7366212606430054, Accuracy = 0.42391303181648254
