Training iter #50:   Batch Loss = 0.780833, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.742900013923645, Accuracy = 0.510869562625885
Training iter #5200:   Batch Loss = 0.696124, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7521679401397705, Accuracy = 0.5
Training iter #5300:   Batch Loss = 0.737383, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7607017159461975, Accuracy = 0.5
Training iter #5400:   Batch Loss = 0.710878, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7547487616539001, Accuracy = 0.510869562625885
Training iter #5500:   Batch Loss = 0.675376, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7499591708183289, Accuracy = 0.52173912525177
Training iter #5600:   Batch Loss = 0.739617, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7517330646514893, Accuracy = 0.52173912525177
Training iter #5700:   Batch Loss = 0.715551, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7561720609664917, Accuracy = 0.5
Training iter #5800:   Batch Loss = 0.665743, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.76542729139328, Accuracy = 0.5
Training iter #5900:   Batch Loss = 0.708611, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7568618059158325, Accuracy = 0.489130437374115
Training iter #6000:   Batch Loss = 0.688820, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7533459663391113, Accuracy = 0.489130437374115
Training iter #6100:   Batch Loss = 0.718283, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7635067105293274, Accuracy = 0.510869562625885
Training iter #6200:   Batch Loss = 0.697589, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7585799098014832, Accuracy = 0.510869562625885
Training iter #6300:   Batch Loss = 0.660969, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7580043077468872, Accuracy = 0.489130437374115
Training iter #6400:   Batch Loss = 0.727014, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7518031597137451, Accuracy = 0.52173912525177
Training iter #6500:   Batch Loss = 0.709768, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7512659430503845, Accuracy = 0.52173912525177
Training iter #6600:   Batch Loss = 0.654593, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7630627155303955, Accuracy = 0.489130437374115
Training iter #6700:   Batch Loss = 0.710071, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.760015606880188, Accuracy = 0.489130437374115
Training iter #6800:   Batch Loss = 0.661403, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7578637599945068, Accuracy = 0.5
Training iter #6900:   Batch Loss = 0.722349, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7639018893241882, Accuracy = 0.489130437374115
Training iter #7000:   Batch Loss = 0.701408, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7605881094932556, Accuracy = 0.5
Training iter #7100:   Batch Loss = 0.654390, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7779625058174133, Accuracy = 0.47826087474823
Training iter #7200:   Batch Loss = 0.739398, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7591617107391357, Accuracy = 0.52173912525177
Training iter #7300:   Batch Loss = 0.707617, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7528583407402039, Accuracy = 0.5
Training iter #7400:   Batch Loss = 0.652691, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 0.7759559154510498, Accuracy = 0.46739131212234497
Training iter #7500:   Batch Loss = 0.692423, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.774583101272583, Accuracy = 0.47826087474823
Training iter #7600:   Batch Loss = 0.635657, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 0.7647812366485596, Accuracy = 0.532608687877655
Training iter #7700:   Batch Loss = 0.720442, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7730060815811157, Accuracy = 0.5
Training iter #7800:   Batch Loss = 0.709608, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7730206847190857, Accuracy = 0.510869562625885
Training iter #7900:   Batch Loss = 0.658344, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.8005082011222839, Accuracy = 0.44565218687057495
Training iter #8000:   Batch Loss = 0.734418, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7600354552268982, Accuracy = 0.5
Training iter #8100:   Batch Loss = 0.718355, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7460179328918457, Accuracy = 0.52173912525177
Training iter #8200:   Batch Loss = 0.646795, Accuracy = 0.7599999904632568
PERFORMANCE ON TEST SET: Batch Loss = 0.7859400510787964, Accuracy = 0.46739131212234497
Training iter #8300:   Batch Loss = 0.712628, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7882440090179443, Accuracy = 0.46739131212234497
Training iter #8400:   Batch Loss = 0.657109, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7554016709327698, Accuracy = 0.54347825050354
Training iter #8500:   Batch Loss = 0.723113, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7525889873504639, Accuracy = 0.510869562625885
Training iter #8600:   Batch Loss = 0.692739, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7549813389778137, Accuracy = 0.532608687877655
Training iter #8700:   Batch Loss = 0.640715, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 0.7753098607063293, Accuracy = 0.489130437374115
Training iter #8800:   Batch Loss = 0.728702, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7708436250686646, Accuracy = 0.47826087474823
Training iter #8900:   Batch Loss = 0.687531, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7570156455039978, Accuracy = 0.52173912525177
Training iter #9000:   Batch Loss = 0.645785, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 0.7551144361495972, Accuracy = 0.54347825050354
Training iter #9100:   Batch Loss = 0.693912, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7562767863273621, Accuracy = 0.54347825050354
Training iter #9200:   Batch Loss = 0.655973, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7573033571243286, Accuracy = 0.54347825050354
Training iter #9300:   Batch Loss = 0.714305, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7868268489837646, Accuracy = 0.45652174949645996
Training iter #9400:   Batch Loss = 0.703189, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7744144797325134, Accuracy = 0.47826087474823
Training iter #9500:   Batch Loss = 0.635599, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 0.7630429863929749, Accuracy = 0.52173912525177
Training iter #9600:   Batch Loss = 0.724141, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7498919367790222, Accuracy = 0.5
Training iter #9700:   Batch Loss = 0.692917, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.750693678855896, Accuracy = 0.532608687877655
Training iter #9800:   Batch Loss = 0.655348, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7836580872535706, Accuracy = 0.46739131212234497
Training iter #9900:   Batch Loss = 0.691814, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7888385653495789, Accuracy = 0.46739131212234497
Training iter #10000:   Batch Loss = 0.649934, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7601767182350159, Accuracy = 0.52173912525177
Training iter #10100:   Batch Loss = 0.732759, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.776888906955719, Accuracy = 0.489130437374115
Training iter #10200:   Batch Loss = 0.706543, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7778252363204956, Accuracy = 0.489130437374115
Training iter #10300:   Batch Loss = 0.634577, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7782210111618042, Accuracy = 0.46739131212234497
Training iter #10400:   Batch Loss = 0.692765, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7562259435653687, Accuracy = 0.532608687877655
Training iter #10500:   Batch Loss = 0.667106, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.753372073173523, Accuracy = 0.5652173757553101
Training iter #10600:   Batch Loss = 0.670727, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7786749005317688, Accuracy = 0.46739131212234497
Training iter #10700:   Batch Loss = 0.696071, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7704623937606812, Accuracy = 0.532608687877655
Training iter #10800:   Batch Loss = 0.654615, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.761326253414154, Accuracy = 0.52173912525177
Training iter #10900:   Batch Loss = 0.733814, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7945810556411743, Accuracy = 0.45652174949645996
Training iter #11000:   Batch Loss = 0.707941, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7786513566970825, Accuracy = 0.489130437374115
Training iter #11100:   Batch Loss = 0.641782, Accuracy = 0.7400000095367432
PERFORMANCE ON TEST SET: Batch Loss = 0.777727484703064, Accuracy = 0.47826087474823
Training iter #11200:   Batch Loss = 0.700579, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7695659399032593, Accuracy = 0.54347825050354
Training iter #11300:   Batch Loss = 0.635665, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7714812159538269, Accuracy = 0.489130437374115
Training iter #11400:   Batch Loss = 0.676617, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7756232023239136, Accuracy = 0.489130437374115
Training iter #11500:   Batch Loss = 0.695592, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7619172930717468, Accuracy = 0.532608687877655
Training iter #11600:   Batch Loss = 0.639387, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.762398362159729, Accuracy = 0.532608687877655
Training iter #11700:   Batch Loss = 0.724647, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7813648581504822, Accuracy = 0.47826087474823
Training iter #11800:   Batch Loss = 0.701170, Accuracy = 0.6200000047683716
PERFORMANCE ON TEST SET: Batch Loss = 0.7686304450035095, Accuracy = 0.532608687877655
Training iter #11900:   Batch Loss = 0.639674, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7867581248283386, Accuracy = 0.47826087474823
Training iter #12000:   Batch Loss = 0.680272, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.787409245967865, Accuracy = 0.47826087474823
Training iter #12100:   Batch Loss = 0.591681, Accuracy = 0.7599999904632568
PERFORMANCE ON TEST SET: Batch Loss = 0.8385785818099976, Accuracy = 0.3695652186870575
Training iter #12200:   Batch Loss = 0.766917, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7966228723526001, Accuracy = 0.46739131212234497
Training iter #12300:   Batch Loss = 0.684917, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.8017104864120483, Accuracy = 0.44565218687057495
Training iter #12400:   Batch Loss = 0.780178, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7074185609817505, Accuracy = 0.6413043737411499
Training iter #12500:   Batch Loss = 0.781388, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.706602156162262, Accuracy = 0.6304348111152649
Training iter #12600:   Batch Loss = 0.769304, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.6970134973526001, Accuracy = 0.6304348111152649
Training iter #12700:   Batch Loss = 0.777382, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.6934065818786621, Accuracy = 0.6304348111152649
Training iter #12800:   Batch Loss = 0.740721, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.704183042049408, Accuracy = 0.6304348111152649
Training iter #12900:   Batch Loss = 0.702195, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7236449718475342, Accuracy = 0.6304348111152649
Training iter #13000:   Batch Loss = 0.725956, Accuracy = 0.47999998927116394
PERFORMANCE ON TEST SET: Batch Loss = 0.7417821884155273, Accuracy = 0.3804347813129425
Training iter #13100:   Batch Loss = 0.707830, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7562288641929626, Accuracy = 0.3695652186870575
Training iter #13200:   Batch Loss = 0.714395, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.763542890548706, Accuracy = 0.3695652186870575
Training iter #13300:   Batch Loss = 0.744404, Accuracy = 0.4399999976158142
PERFORMANCE ON TEST SET: Batch Loss = 0.7625898122787476, Accuracy = 0.3695652186870575
Training iter #13400:   Batch Loss = 0.725608, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7590647339820862, Accuracy = 0.3804347813129425
Training iter #13500:   Batch Loss = 0.703242, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7517927289009094, Accuracy = 0.3804347813129425
Training iter #13600:   Batch Loss = 0.727466, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.742032527923584, Accuracy = 0.3586956560611725
Training iter #13700:   Batch Loss = 0.708271, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7357452511787415, Accuracy = 0.42391303181648254
Training iter #13800:   Batch Loss = 0.718768, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7277856469154358, Accuracy = 0.46739131212234497
Training iter #13900:   Batch Loss = 0.713189, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7241995930671692, Accuracy = 0.510869562625885
Training iter #14000:   Batch Loss = 0.710486, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7219284772872925, Accuracy = 0.5652173757553101
Training iter #14100:   Batch Loss = 0.718855, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7195570468902588, Accuracy = 0.5978260636329651
Training iter #14200:   Batch Loss = 0.718601, Accuracy = 0.5600000023841858
PERFORMANCE ON TEST SET: Batch Loss = 0.7205681204795837, Accuracy = 0.5652173757553101
Training iter #14300:   Batch Loss = 0.714156, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7222174406051636, Accuracy = 0.554347813129425
Training iter #14400:   Batch Loss = 0.722934, Accuracy = 0.5199999809265137
PERFORMANCE ON TEST SET: Batch Loss = 0.7243574857711792, Accuracy = 0.54347825050354
Training iter #14500:   Batch Loss = 0.678540, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7292177081108093, Accuracy = 0.52173912525177
Training iter #14600:   Batch Loss = 0.691317, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7338294386863708, Accuracy = 0.5
Training iter #14700:   Batch Loss = 0.707577, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7383098006248474, Accuracy = 0.47826087474823
Training iter #14800:   Batch Loss = 0.692819, Accuracy = 0.6800000071525574
PERFORMANCE ON TEST SET: Batch Loss = 0.7417311668395996, Accuracy = 0.47826087474823
Training iter #14900:   Batch Loss = 0.728116, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7425309419631958, Accuracy = 0.489130437374115
Training iter #15000:   Batch Loss = 0.711494, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7425544857978821, Accuracy = 0.489130437374115
Training iter #15100:   Batch Loss = 0.687698, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7465912103652954, Accuracy = 0.489130437374115
Training iter #15200:   Batch Loss = 0.707010, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7477636933326721, Accuracy = 0.489130437374115
Training iter #15300:   Batch Loss = 0.680250, Accuracy = 0.6000000238418579
PERFORMANCE ON TEST SET: Batch Loss = 0.7492012977600098, Accuracy = 0.489130437374115
Training iter #15400:   Batch Loss = 0.680972, Accuracy = 0.699999988079071
PERFORMANCE ON TEST SET: Batch Loss = 0.7559326887130737, Accuracy = 0.489130437374115
Training iter #15500:   Batch Loss = 0.705384, Accuracy = 0.5
PERFORMANCE ON TEST SET: Batch Loss = 0.7570080161094666, Accuracy = 0.489130437374115
Training iter #15600:   Batch Loss = 0.678789, Accuracy = 0.7200000286102295
PERFORMANCE ON TEST SET: Batch Loss = 0.7599026560783386, Accuracy = 0.489130437374115
Training iter #15700:   Batch Loss = 0.726384, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7572991251945496, Accuracy = 0.5
Training iter #15800:   Batch Loss = 0.708328, Accuracy = 0.5400000214576721
PERFORMANCE ON TEST SET: Batch Loss = 0.7516494393348694, Accuracy = 0.489130437374115
Training iter #15900:   Batch Loss = 0.672886, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7540498375892639, Accuracy = 0.489130437374115
Training iter #16000:   Batch Loss = 0.696790, Accuracy = 0.5799999833106995
PERFORMANCE ON TEST SET: Batch Loss = 0.7557413578033447, Accuracy = 0.5
Training iter #16100:   Batch Loss = 0.681150, Accuracy = 0.6399999856948853
PERFORMANCE ON TEST SET: Batch Loss = 0.7564002871513367, Accuracy = 0.5
Training iter #16200:   Batch Loss = 0.688434, Accuracy = 0.6600000262260437
PERFORMANCE ON TEST SET: Batch Loss = 0.7603732347488403, Accuracy = 0.489130437374115
Training iter #16300:   Batch Loss = 0.709423, Accuracy = 0.5400000214576721
